title,category,description,required_skills,salary,difficulty
SAP Developer,Software Engineering,"Develop and maintain SAP applications and modules for enterprise systems.","ABAP, SAP, FICO, MM, SD, SCM, SAP HANA, SQL, Object Oriented Programming, Web Dynpro, Workflow, RFC",135000,Advanced
Salesforce Developer,Software Engineering,"Build custom applications on the Salesforce platform for CRM solutions.","Apex, Visualforce, Lightning, Salesforce, JavaScript, HTML, CSS, SOQL, SOSL, REST APIs, Triggers, Workflow",125000,Intermediate
Mulesoft Developer,Software Engineering,"Design and implement integration solutions using Mulesoft platform.","MuleSoft, Anypoint Studio, REST APIs, SOAP, DataWeave, SQL, Java, Integration Patterns, API Management, Connectors, CloudHub, Deployment",130000,Advanced
Snowflake Engineer,Software Engineering,"Build and manage data warehouses and data pipelines on Snowflake.","Snowflake, SQL, Python, ETL, Data Warehousing, AWS, Azure, GCP, Data Pipeline, Performance Tuning, Data Modeling, Automation",135000,Advanced
Docker Engineer,Software Engineering,"Containerize applications and manage container orchestration.","Docker, Kubernetes, Linux, Bash, Python, AWS, GCP, Containerization, Orchestration, Microservices, CI/CD, DevOps",130000,Advanced
Kubernetes Engineer,Software Engineering,"Manage Kubernetes clusters and container orchestration in production.","Kubernetes, Docker, Linux, Bash, Python, AWS, GCP, Helm, Service Mesh, Networking, Storage, Monitoring",135000,Advanced
Jenkins Engineer,Software Engineering,"Design and maintain CI/CD pipelines using Jenkins.","Jenkins, CI/CD, Pipeline, Groovy, Docker, Kubernetes, AWS, Python, Linux, Git, Artifactory, Security",125000,Intermediate
GitLab Engineer,Software Engineering,"Manage CI/CD pipelines and DevOps processes using GitLab.","GitLab, CI/CD, Docker, Kubernetes, AWS, Python, Linux, Automation, Infrastructure as Code, Git, DevOps",130000,Advanced
Ansible Engineer,Software Engineering,"Automate configuration management and application deployment using Ansible.","Ansible, Python, Linux, YAML, Docker, AWS, Automation, Configuration Management, Infrastructure as Code, DevOps, Playbooks, Role",125000,Intermediate
Terraform Engineer,Software Engineering,"Design and manage infrastructure as code using Terraform.","Terraform, AWS, GCP, Azure, Python, Linux, Docker, Kubernetes, Infrastructure as Code, Automation, Cloud Computing, DevOps",135000,Advanced
Elastic Engineer,Software Engineering,"Build, manage, and optimize Elasticsearch clusters for search and analytics.","Elasticsearch, Logstash, Kibana, Beats, Python, Linux, Docker, AWS, Search, Analytics, Performance Tuning, Data Ingestion",130000,Advanced
Redis Engineer,Software Engineering,"Manage and optimize Redis databases for caching and real-time applications.","Redis, Linux, Python, Java, Performance Tuning, Replication, Clustering, High Availability, Data Structures, Backup, Monitoring",125000,Advanced
Kafka Engineer,Software Engineering,"Build and manage Kafka streaming platforms for real-time data processing.","Kafka, Java, Python, Linux, Docker, Zookeeper, Streaming, Data Pipeline, AWS, GCP, Performance Tuning, High Availability",135000,Advanced
RabbitMQ Engineer,Software Engineering,"Manage message queuing systems using RabbitMQ for microservices.","RabbitMQ, Python, Java, Linux, Docker, AMQP, Microservices, Message Queues, High Availability, Performance Tuning, Monitoring",125000,Intermediate
Consul Engineer,Software Engineering,"Manage service discovery, configuration, and segmentation.","Consul, Linux, Docker, Kubernetes, Service Mesh, Service Discovery, Configuration, Networking, Python, Hashicorp, Cloud",130000,Advanced
Vault Engineer,Software Engineering,"Manage secrets, certificates, and data protection.","Vault, Hashicorp, Linux, Docker, Kubernetes, Python, Secrets Management, Encryption, Authentication, Authorization, Cloud, DevOps",135000,Advanced
